epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1188.33,0.83795,0.31643,0.00476,0.90945,0.91895,0.97946,0.78377,0.77897,0.35769,0.00624,0.0011882,0.0011882,0.0011882
43,1216.15,0.83502,0.31664,0.00484,0.96431,0.9667,0.99161,0.77245,0.85929,0.28559,0.00697,0.0011684,0.0011684,0.0011684
44,1243.84,0.838,0.31594,0.00471,0.98604,0.96926,0.99354,0.79145,0.80007,0.24257,0.00637,0.0011486,0.0011486,0.0011486
45,1271.53,0.83629,0.31024,0.00478,0.97929,0.97819,0.99332,0.79089,0.82641,0.25712,0.00679,0.0011288,0.0011288,0.0011288
46,1299.13,0.82477,0.30903,0.00464,0.98527,0.96423,0.99315,0.79977,0.77794,0.254,0.00626,0.001109,0.001109,0.001109
47,1326.33,0.82766,0.30563,0.00463,0.95255,0.96982,0.99069,0.78652,0.81345,0.27332,0.00662,0.0010892,0.0010892,0.0010892
48,1353.87,0.82167,0.30602,0.00463,0.97313,0.97155,0.99261,0.77285,0.88631,0.26801,0.00743,0.0010694,0.0010694,0.0010694
49,1381.66,0.83897,0.30612,0.00468,0.97739,0.96657,0.99262,0.79817,0.78568,0.25564,0.00624,0.0010496,0.0010496,0.0010496
50,1409.35,0.82894,0.30722,0.00479,0.97639,0.97087,0.99278,0.79567,0.79929,0.25172,0.00645,0.0010298,0.0010298,0.0010298
51,1437.25,0.80599,0.29481,0.00461,0.97159,0.97509,0.99299,0.79681,0.79475,0.24792,0.00641,0.00101,0.00101,0.00101
52,1464.55,0.80174,0.28912,0.00457,0.98361,0.96199,0.99268,0.79656,0.79268,0.25613,0.00642,0.0009902,0.0009902,0.0009902
53,1491.8,0.79699,0.29613,0.00442,0.98625,0.96225,0.99208,0.79059,0.78866,0.25683,0.00631,0.0009704,0.0009704,0.0009704
54,1519.45,0.81017,0.2996,0.00455,0.98013,0.96926,0.99274,0.78896,0.82868,0.26745,0.00682,0.0009506,0.0009506,0.0009506
55,1546.96,0.78851,0.29142,0.00444,0.98296,0.97541,0.99359,0.79594,0.79275,0.24408,0.00634,0.0009308,0.0009308,0.0009308
56,1574.49,0.8133,0.30103,0.00458,0.97642,0.97236,0.99315,0.80016,0.78573,0.24604,0.00631,0.000911,0.000911,0.000911
57,1601.87,0.8121,0.29987,0.0046,0.97669,0.97652,0.99354,0.79921,0.77522,0.24966,0.00618,0.0008912,0.0008912,0.0008912
58,1629.87,0.80118,0.29007,0.00451,0.97451,0.97541,0.99328,0.79124,0.799,0.25117,0.0064,0.0008714,0.0008714,0.0008714
59,1658.23,0.79436,0.28696,0.00445,0.96805,0.98231,0.99299,0.80101,0.78555,0.25093,0.00634,0.0008516,0.0008516,0.0008516
60,1685.78,0.79989,0.29624,0.0045,0.98138,0.97317,0.99362,0.80503,0.77766,0.24262,0.00615,0.0008318,0.0008318,0.0008318
61,1713.51,0.80203,0.29004,0.00441,0.98044,0.98072,0.99371,0.79133,0.82791,0.24679,0.0068,0.000812,0.000812,0.000812
62,1740.94,0.78982,0.28791,0.00442,0.98864,0.97291,0.99408,0.8032,0.77825,0.24956,0.00618,0.0007922,0.0007922,0.0007922
63,1768.5,0.80251,0.28729,0.00444,0.97958,0.97317,0.99303,0.80197,0.78187,0.24374,0.00622,0.0007724,0.0007724,0.0007724
64,1796.12,0.78674,0.28802,0.00439,0.97678,0.97708,0.99332,0.80591,0.76638,0.24796,0.00609,0.0007526,0.0007526,0.0007526
65,1823.54,0.78267,0.27959,0.00435,0.98146,0.97672,0.99375,0.79448,0.81037,0.24933,0.00663,0.0007328,0.0007328,0.0007328
66,1851.14,0.78659,0.28274,0.00433,0.97044,0.9782,0.99313,0.79806,0.79491,0.24492,0.00636,0.000713,0.000713,0.000713
67,1878.3,0.77872,0.27694,0.00442,0.97929,0.97785,0.99323,0.80072,0.79459,0.2427,0.00634,0.0006932,0.0006932,0.0006932
68,1905.82,0.77803,0.276,0.00423,0.97733,0.97876,0.9935,0.80511,0.78085,0.23919,0.00626,0.0006734,0.0006734,0.0006734
69,1932.83,0.7689,0.27617,0.00426,0.97642,0.97218,0.99308,0.80102,0.7753,0.23982,0.00619,0.0006536,0.0006536,0.0006536
70,1960.51,0.77633,0.27727,0.00423,0.97925,0.97584,0.99384,0.80372,0.78412,0.23938,0.00633,0.0006338,0.0006338,0.0006338
71,1987.81,0.75995,0.26716,0.00419,0.97868,0.97527,0.99304,0.79853,0.79261,0.24823,0.00634,0.000614,0.000614,0.000614
72,2015.27,0.76427,0.26864,0.00428,0.97712,0.97876,0.99385,0.80451,0.77573,0.23645,0.00621,0.0005942,0.0005942,0.0005942
73,2042.8,0.75918,0.27285,0.00418,0.98041,0.97936,0.99393,0.81041,0.7658,0.231,0.00615,0.0005744,0.0005744,0.0005744
74,2070.59,0.75879,0.27505,0.00417,0.98099,0.98053,0.9941,0.80924,0.76699,0.22728,0.00613,0.0005546,0.0005546,0.0005546
75,2097.63,0.75987,0.27185,0.00425,0.97458,0.98581,0.99402,0.8084,0.76827,0.23144,0.00612,0.0005348,0.0005348,0.0005348
76,2125.13,0.74596,0.26228,0.00416,0.98365,0.97552,0.99392,0.81184,0.7558,0.23125,0.00596,0.000515,0.000515,0.000515
77,2152.63,0.75691,0.26972,0.00412,0.97544,0.98603,0.99408,0.80893,0.76453,0.23283,0.00612,0.0004952,0.0004952,0.0004952
78,2179.94,0.7531,0.26715,0.00422,0.97918,0.97256,0.99337,0.8115,0.74939,0.23648,0.00595,0.0004754,0.0004754,0.0004754
79,2207.58,0.75632,0.26517,0.00414,0.97794,0.97596,0.99363,0.80548,0.76975,0.23848,0.00617,0.0004556,0.0004556,0.0004556
80,2234.89,0.75475,0.26936,0.00417,0.98583,0.97221,0.99369,0.80779,0.76121,0.23231,0.00609,0.0004358,0.0004358,0.0004358
81,2262.44,0.74542,0.25976,0.00419,0.97552,0.97541,0.99355,0.81074,0.75267,0.23006,0.00593,0.000416,0.000416,0.000416
82,2289.87,0.73407,0.25974,0.00408,0.9814,0.97338,0.9937,0.81275,0.75711,0.23061,0.00599,0.0003962,0.0003962,0.0003962
83,2317.31,0.74028,0.26221,0.00403,0.98093,0.9778,0.99366,0.81214,0.75828,0.23018,0.00601,0.0003764,0.0003764,0.0003764
84,2344.76,0.73868,0.2631,0.00406,0.98527,0.97196,0.99376,0.81224,0.7513,0.23221,0.00592,0.0003566,0.0003566,0.0003566
85,2371.87,0.73157,0.26373,0.00403,0.98422,0.97601,0.99382,0.8105,0.76476,0.2363,0.00606,0.0003368,0.0003368,0.0003368
86,2399.16,0.72678,0.25305,0.00403,0.98308,0.97447,0.99395,0.81017,0.75881,0.22863,0.00599,0.000317,0.000317,0.000317
87,2426.36,0.72621,0.25161,0.00404,0.98667,0.97317,0.99387,0.81101,0.7548,0.22762,0.00595,0.0002972,0.0002972,0.0002972
88,2453.5,0.72431,0.25327,0.00398,0.98019,0.9782,0.99378,0.81155,0.75673,0.229,0.00599,0.0002774,0.0002774,0.0002774
89,2480.75,0.72428,0.25408,0.00402,0.98316,0.97932,0.99407,0.81054,0.75653,0.22786,0.00594,0.0002576,0.0002576,0.0002576
90,2507.77,0.73224,0.25761,0.00409,0.98685,0.96982,0.99364,0.80773,0.76303,0.22782,0.00606,0.0002378,0.0002378,0.0002378
91,2537.72,0.68104,0.20686,0.0045,0.97129,0.98332,0.99366,0.80704,0.76918,0.2267,0.00611,0.000218,0.000218,0.000218
92,2564.89,0.67747,0.20379,0.00435,0.98896,0.97373,0.99384,0.80833,0.76901,0.22456,0.00617,0.0001982,0.0001982,0.0001982
93,2592.03,0.67502,0.20472,0.00438,0.97733,0.97932,0.99387,0.8047,0.77357,0.23081,0.00614,0.0001784,0.0001784,0.0001784
94,2618.72,0.66423,0.20059,0.0043,0.97775,0.98249,0.99393,0.80668,0.77245,0.22684,0.00615,0.0001586,0.0001586,0.0001586
95,2645.67,0.66839,0.20077,0.00433,0.98239,0.98044,0.99404,0.81182,0.76307,0.22394,0.00603,0.0001388,0.0001388,0.0001388
96,2672.37,0.6599,0.19819,0.00421,0.98559,0.97876,0.99409,0.81115,0.76239,0.22024,0.00603,0.000119,0.000119,0.000119
97,2699.37,0.65464,0.20021,0.00421,0.98433,0.97764,0.99409,0.81081,0.7616,0.22346,0.00603,9.92e-05,9.92e-05,9.92e-05
98,2726.3,0.6559,0.19626,0.0042,0.97772,0.9813,0.99404,0.81175,0.75601,0.22607,0.00597,7.94e-05,7.94e-05,7.94e-05
99,2753.27,0.65228,0.19611,0.00415,0.97827,0.98144,0.99393,0.80954,0.75718,0.22618,0.00598,5.96e-05,5.96e-05,5.96e-05
100,2780.33,0.65005,0.19648,0.00413,0.97664,0.98163,0.99402,0.81247,0.75345,0.22456,0.00594,3.98e-05,3.98e-05,3.98e-05
