epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,1125.73,0.0525,0.8918,1,0.60475,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,1148.51,0.05118,0.90574,1,0.53452,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,1171.4,0.05284,0.89738,1,0.62705,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,1194.3,0.04888,0.9024,1,0.54311,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,1217.29,0.03994,0.88678,1,0.80821,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,1240.13,0.04354,0.90351,1,0.64511,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,1262.86,0.04656,0.8918,1,0.70944,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,1285.56,0.04599,0.88846,1,0.58697,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,1308.42,0.04497,0.89459,1,0.58235,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,1331.14,0.04374,0.89682,1,0.65388,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,1353.63,0.04071,0.89626,1,0.63569,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,1376.3,0.04132,0.89794,1,0.58087,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,1399.13,0.03716,0.90017,1,0.60742,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,1422.02,0.03676,0.9024,1,0.56509,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,1444.81,0.03514,0.91355,1,0.54086,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,1467.61,0.03053,0.89794,1,0.67259,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,1490.39,0.02972,0.90519,1,0.59743,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,1513.17,0.03206,0.89794,1,0.65681,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,1536.07,0.03072,0.89849,1,0.62565,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,1558.89,0.02978,0.90574,1,0.6402,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,1581.57,0.03093,0.89347,1,0.71359,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,1604.45,0.03183,0.88901,1,0.68197,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,1627.35,0.03202,0.88901,1,0.65057,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,1650.41,0.02245,0.89515,1,0.66221,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,1673.22,0.02633,0.89347,1,0.69878,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,1696.09,0.02392,0.89403,1,0.70572,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,1718.92,0.01803,0.8879,1,0.68879,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,1741.93,0.02355,0.89515,1,0.69616,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,1764.65,0.02246,0.90184,1,0.63622,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,1787.3,0.01978,0.89794,1,0.66361,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
